uria,lv,pi,ccs,pbcr,se,iraj,male,multi,condo,sfam,race,denied
3.200000048,0.921875,26.5,2,0,0,0,1,0,0,1,0,0
3.200000048,0.92039801,37.20000076,1,0,0,0,1,0,0,1,0,0
4.300000191,0.860465116,32,1,0,0,0,1,0,0,1,0,0
3.200000048,0.6,36,1,0,0,0,1,0,0,1,0,0
3.900000095,0.510526316,24,1,0,0,0,1,0,0,1,0,0
3.900000095,0.746666667,35,1,0,0,0,0,0,1,0,0,0
5.300000191,0.913513514,37,2,0,0,0,1,1,0,0,1,0
1.799999952,0.85,28,2,0,0,1,1,0,0,1,0,0
3.099999905,0.897260274,31,2,0,0,0,1,0,0,1,0,1
3.200000048,0.902564103,36,2,0,0,0,1,1,0,0,0,0
3.200000048,0.948113208,34,5,0,0,0,1,1,0,0,1,1
3.200000048,0.948148148,24,1,0,0,0,1,0,0,1,1,0
3.900000095,0.358744395,18,2,0,0,0,0,0,0,1,0,0
3.099999905,0.223880597,28,1,0,0,0,0,0,1,0,0,0
4.300000191,0.688888889,31,1,0,0,0,1,0,0,1,0,0
4.300000191,0.537634409,28,1,0,0,1,1,0,0,1,0,1
10.60000038,0.649438202,36,1,0,0,0,1,0,0,1,0,0
3.200000048,0.3625,18,1,0,0,1,1,0,0,1,0,0
3.200000048,0.833333333,36,2,0,0,1,1,0,0,1,0,0
3.200000048,0.642857143,23,1,0,0,0,1,0,0,1,0,0
3.200000048,0.4375,32,2,0,0,0,0,0,0,1,0,0
4.300000191,0.794444444,31,2,0,0,1,1,0,0,1,0,0
3.099999905,0.8,37,2,0,0,1,1,0,0,1,0,0
3.200000048,0.921428571,84,1,0,0,0,0,1,0,0,1,1
3.099999905,0.896341463,37,6,1,0,1,1,0,0,1,0,1
5.300000191,0.878571429,39,3,0,0,0,1,0,0,1,0,0
10.60000038,0.772058824,32,1,0,0,0,1,0,0,1,0,0
3.200000048,0.901023891,39,1,0,0,0,1,0,0,1,0,0
3.900000095,0.65437788,33,1,0,0,0,1,0,0,1,0,0
3.200000048,0.62962963,28,1,0,0,0,0,0,1,0,0,0
1.799999952,0.7734375,41,2,0,0,0,1,0,0,1,1,0
1.799999952,0.894736842,37,1,0,0,1,0,0,1,0,0,0
3.200000048,0.485436893,30,1,0,0,0,1,0,0,1,0,0
3.900000095,0.949367089,31,1,0,0,0,1,0,0,1,0,0
1.799999952,0.891089109,26,1,0,0,1,1,0,0,1,1,0
4.300000191,0.863309353,36,1,0,0,0,0,0,0,1,0,0
4.300000191,0.714285714,37,5,0,0,1,1,0,0,1,0,0
